SA2 Code,SA2 Label,Asthma (%) All ages,Asthma (%) 60 years and over,Asthma (%) 70 years and over
801051125,Duntroon,13.4,0,0
801071132,Tuggeranong - West,NA,0,0
801011112,West Belconnen,NA,0,0
801011012,Gooromon,NA,0,0
206051131,Port Melbourne Industrial,NA,0,0
507051189,Rockingham Lakes,NA,0,0
504031063,Malaga,NA,0,0
117011325,Sydney Airport,NA,0,0
801011111,Molonglo Corridor,NA,0,0
128021537,Royal National Park,NA,0,0
801031031,Hume,NA,0,0
801101138,Molonglo - North,NA,0,0
505031106,Neerabup National Park,NA,0,0
506011111,Ashendon - Lesley,NA,0,0
504031055,Avon Valley National Park,NA,0,0
125031486,Smithfield Industrial,NA,0,0
701011003,East Point,NA,0,0
125031487,Yennora Industrial,NA,0,0
117011324,Port Botany Industrial,NA,0,0
603011068,Wilderness - East,NA,0,0
801031032,Kowen,NA,0,0
206041120,Flemington Racecourse,NA,0,0
124011451,Blue Mountains - North,NA,NA,0
107021135,Illawarra Catchment Reserve,NA,NA,0
701011001,Darwin Airport,NA,NA,0
501021011,Davenport,NA,NA,0
124021456,Blue Mountains - South,NA,NA,0
801061130,Fyshwick,NA,NA,0
302031036,Brisbane Airport,NA,NA,0
205021080,Alps - East,NA,NA,0
210051248,Melbourne Airport,NA,NA,0
127021521,Wetherill Park Industrial,NA,NA,0
507011155,Henderson,NA,NA,0
308031221,Shoalwater Bay,NA,NA,0
319021510,North Burnett,NA,NA,0
504021052,Malmalling - Reservoir,NA,NA,0
205031092,Wilsons Promontory,NA,NA,0
701031033,Koolpinyah,NA,NA,0
208031184,Braeside,NA,NA,0
116031318,Prospect Reservoir,NA,NA,0
127021518,Horsley Park - Kemps Creek,7.6,7.1,6.9
119021363,Canterbury (South) - Campsie,5.6,6.9,7
120031396,Homebush,5.2,7.1,7.1
119031368,Hurstville,5.4,6.8,7.2
120031391,Burwood - Croydon,5.9,7.4,7.5
120031392,Canterbury (North) - Ashbury,7.3,7.6,7.5
119041376,Bexley,6.4,7.4,7.6
116021309,Glenwood,7.2,7.6,7.6
125011473,Homebush Bay - Silverwater,5.9,7.8,7.6
118011344,Dover Heights,7.5,7.9,7.6
119041381,Rockdale - Banksia,5.7,7.5,7.7
119041379,Kogarah Bay - Carlton - Allawah,6.5,7.7,7.8
