2021 Statistical Area Level 2  (SA2) 9-Digit Code,2021 Statistical Area Level 2 (SA2) Name ,ISRD,ISRAD,IER,IEO,Usual Resident Population
702031061,West Arnhem,448,682,469,860,5204
702031059,Thamarrurr,452,689,498,921,2118
702011054,Yuendumu - Anmatjere,482,677,572,865,1851
702041063,East Arnhem,484,699,519,880,6983
702051066,Gulf,493,683,535,849,4189
406021138,APY Lands,496,706,519,889,2333
315011395,Aurukun,501,700,546,833,1101
702051068,Victoria River,501,678,557,819,2609
306031163,Yarrabah,512,678,569,788,2505
702011053,Tanami,524,704,563,858,2839
315011398,Kowanyama - Pormpuraaw,535,693,510,763,1691
510011264,Halls Creek,540,702,572,836,3603
702011052,Sandover - Plenty,548,719,602,849,3912
702031060,Tiwi Islands,564,729,540,860,2348
318011466,Palm Island,567,707,570,851,2098
702051065,Elsey,600,751,609,896,2283
702021055,Barkly,615,741,649,820,2203
702031058,Daly,629,763,636,880,1890
510021267,East Pilbara,641,792,637,950,5910
406011135,Western,644,823,641,1043,136
402021030,Elizabeth,646,717,758,773,10829
315011402,Torres Strait Islands,649,777,628,885,4124
311061331,Logan Central,682,751,795,794,6356
702041062,Anindilyakwa,682,795,684,875,2541
315011399,Northern Peninsula,702,792,636,881,2781
127011504,Ashcroft - Busby - Miller,705,778,830,844,17962
601011001,Bridgewater - Gagebrook,717,738,790,768,8150
602011045,Ravenswood,718,736,775,761,3804
315021404,Carpentaria,719,797,718,867,4921
127021515,Fairfield,721,828,861,891,18248
402021034,Smithfield - Elizabeth North,732,756,804,780,12446
511031283,Leinster - Leonora,733,816,730,884,4804
510011263,Derby - West Kimberley,734,818,732,899,7045
311061336,Woodridge,736,780,806,821,12982
127021511,Cabramatta - Lansvale,737,832,872,890,24101
310011274,Inala - Richlands,758,813,829,877,19891
510011266,Roebuck,761,836,724,906,2310
310011276,Wacol,762,792,825,845,6220
203021488,Norlane,764,788,805,826,9051
127031599,Lurnea - Cartwright,770,835,877,896,12670
310031295,Riverview,773,790,843,824,3067
311061330,Kingston (Qld),774,800,851,828,10371
116031313,Bidwill - Hebersham - Emerton,778,807,853,829,18536
127021513,Canley Vale - Canley Heights,778,864,909,907,22261
125031480,Fairfield - East,785,861,881,917,15742
127021516,Fairfield - West,785,868,934,904,21249
315011396,Cape York,786,834,767,885,7803
210051242,Broadmeadows,789,840,854,903,13859
210051243,Campbellfield - Coolaroo,791,836,902,886,16057
702021056,Tennant Creek,791,867,775,954,3080
402021029,Davoren Park,792,799,862,811,18313
127031732,Liverpool - West,795,867,890,927,13737
308031212,Mount Morgan,796,794,859,792,2945
125011583,Auburn - North,799,894,797,955,10592
210051247,Meadow Heights,800,845,917,901,14890
125031483,Guildford - South Granville,801,880,878,950,22386
127031601,Warwick Farm,803,862,804,931,5937
402041046,Salisbury,803,827,876,851,18594
125011582,Auburn - Central,804,905,860,954,19487
119021573,Lakemba,810,877,832,948,17092
319011495,Bundaberg,810,827,813,865,6247
110041204,Tamworth - West,813,810,883,791,5998
127021512,Cabramatta West - Mount Pritchar,815,878,935,910,18249
306021151,Manoora,817,841,795,891,6175
212041564,Dandenong - South,818,864,902,896,9350
604021086,East Devonport,818,814,867,824,5075
702011050,Petermann - Simpson,818,876,748,916,1961
213011335,St Albans - South,821,869,891,908,17454
602011041,Newnham - Mayfield,821,830,864,843,9628
215031403,Robinvale,823,867,894,866,3740
205041096,Morwell,824,820,859,829,14432
213011334,St Albans - North,825,863,885,898,20581
213011333,Kings Park (Vic.),827,854,927,872,13983
212041563,Dandenong - North,828,872,864,932,21487
310031291,Leichhardt - One Mile,829,830,877,856,8268
402041048,Salisbury North,829,836,908,846,18487
308031217,Rockhampton City,830,834,848,845,3364
212041318,Springvale South,831,878,943,900,12621
212021295,Doveton,832,859,886,901,11889
402021031,Elizabeth East,834,838,894,845,14047
127021519,Smithfield - Wetherill Park,837,894,944,921,19510
301021551,Southern Moreton Bay Islands,837,833,879,876,8481
116031316,Lethbridge Park - Tregear,838,861,903,868,21551
311031317,Marsden,839,845,913,850,15988
801031113,Canberra East,839,849,838,885,1097
307011178,Tara,841,848,915,882,3851
119011572,Bankstown - South,843,910,884,969,18434
119021660,Campsie - South,843,921,840,975,9059
127021509,Bonnyrigg Heights - Bonnyrigg,843,902,972,932,17154
501021254,Withers - Usher,844,830,891,824,5119
212041317,Springvale,845,900,914,937,22248
119021574,Wiley Park,846,897,861,958,10135
602011040,Mowbray,846,853,847,882,4048
119021366,Punchbowl,847,909,916,955,21544
310041300,Goodna,847,855,902,865,10885
306021152,Manunda,848,861,821,898,5191
319021506,Kingaroy Surrounds - North,848,854,887,886,9490
127021517,Greenfield Park - Prairiewood,849,911,977,936,8855
127031731,Liverpool - East,849,905,840,975,17536
203021486,Corio - Lovely Banks,849,849,909,847,18325
213041577,Melton,849,843,908,847,7886
403041079,Hackham West - Huntfield Heights,850,831,888,847,7818
901021002,Cocos (Keeling) Islands,850,903,980,896,593
107011546,Port Kembla - Warrawong,851,870,889,879,9740
125011584,Auburn - South,853,930,942,966,8860
212041460,Noble Park - West,853,888,914,919,19591
319051524,Maryborough (Qld),853,840,892,843,18558
119011571,Bankstown - North,854,917,881,988,16981
210051545,Roxburgh Park - North,854,899,1000,939,14658
216031594,Shepparton - South East,854,864,898,892,16520
311021307,Eagleby,854,841,895,847,13594
319021504,Gin Gin,854,844,928,855,5402
125031479,Chester Hill - Sefton,855,918,930,962,20842
119031373,Riverwood,856,922,867,969,11606
319051523,Granville,856,838,910,830,3051
108021155,Kempsey,857,845,911,851,15654
311061333,Slacks Creek,857,860,901,876,10408
511041290,Meekatharra,857,866,849,901,3153
116031317,Mount Druitt - Whalan,859,883,901,907,22918
502011025,Mandurah,859,858,864,876,10256
505031102,Girrawheen,859,868,903,887,8897
407031160,Berri,860,854,871,876,4143
604031097,West Coast (Tas.),861,844,887,832,4267
403041073,Christie Downs,862,850,872,870,9475
602031059,George Town,862,847,907,847,7118
311031314,Crestmead,863,851,935,839,12158
319021509,Nanango,863,843,929,848,10003
407031167,Renmark,863,858,882,859,4705
