SA2 Code,SA2 Label,Diabetes (%) All ages,Diabetes (%) 60 years and over,Diabetes (%) 70 years and over
506011111,Ashendon - Lesley,NA,0,0
801011012,Gooromon,NA,0,0
504031055,Avon Valley National Park,NA,0,0
801071132,Tuggeranong - West,NA,0,0
507051189,Rockingham Lakes,NA,0,0
206051131,Port Melbourne Industrial,NA,0,0
117011325,Sydney Airport,NA,0,0
603011068,Wilderness - East,NA,0,0
206041120,Flemington Racecourse,NA,0,0
801011112,West Belconnen,NA,0,0
128021537,Royal National Park,NA,0,0
125031487,Yennora Industrial,NA,0,0
117011324,Port Botany Industrial,NA,0,0
505031106,Neerabup National Park,NA,0,0
801031031,Hume,NA,0,0
504031063,Malaga,NA,0,0
801031032,Kowen,NA,0,0
701011003,East Point,NA,0,0
801101138,Molonglo - North,NA,0,0
125031486,Smithfield Industrial,NA,0,0
801011111,Molonglo Corridor,NA,0,0
801051125,Duntroon,NA,0,0
124021456,Blue Mountains - South,56.8,99.8,0
319021510,North Burnett,NA,NA,0
205021080,Alps - East,NA,NA,0
205031092,Wilsons Promontory,NA,NA,0
507011155,Henderson,NA,NA,0
302031036,Brisbane Airport,NA,NA,0
701011001,Darwin Airport,NA,NA,0
308031221,Shoalwater Bay,NA,NA,0
208031184,Braeside,NA,NA,0
127021521,Wetherill Park Industrial,NA,NA,0
701031033,Koolpinyah,NA,NA,0
210051248,Melbourne Airport,NA,NA,0
116031318,Prospect Reservoir,NA,NA,0
107021135,Illawarra Catchment Reserve,NA,NA,0
124011451,Blue Mountains - North,NA,NA,0
504021052,Malmalling - Reservoir,NA,NA,0
501021011,Davenport,NA,NA,0
801061130,Fyshwick,NA,NA,0
503011036,Swanbourne - Mount Claremont,3.3,8,9.4
503011030,City Beach,3.5,8.3,9.4
503011033,Floreat,2.8,7.9,9.5
503011034,Mosman Park - Peppermint Grove,3.2,8.1,9.5
304031096,St Lucia,2.3,8.2,9.5
503011032,Cottesloe,3.2,8,9.6
503011031,Claremont (WA),3.7,8.5,9.6
801061131,Kingston (ACT),2.6,8.3,9.7
304031092,Chelmer - Graceville,2.7,8.3,9.7
801061069,Red Hill (ACT),3.5,8.4,9.7
304031097,Taringa,2.6,8.7,9.8
801061062,Deakin,4,8.8,9.8
501011003,Busselton Region,3.3,8.7,9.9
503011035,Nedlands - Dalkeith - Crawley,3.2,8.4,10
304031094,Indooroopilly,2.6,8.5,10
122011418,Balgowlah - Clontarf - Seaforth,2.9,8.5,10
121041414,Crows Nest - Waverton,2.8,8.6,10
121041415,Mosman,3.5,8.7,10
121041413,Cremorne - Cammeray,3.2,8.7,10.1
316051435,Noosaville,4.8,8.8,10.1
501011001,Augusta,3.9,9,10.1
122021422,Newport - Bilgola,3.4,8.4,10.2
501011004,Margaret River,2.8,8.7,10.2
208011169,Brighton (Vic.),3.6,8.8,10.2
122021420,Avalon - Palm Beach,3.8,8.7,10.3
316051434,Noosa Heads,4.5,8.7,10.3
122021421,Bayview - Elanora Heights,3.9,8.8,10.3
121041416,Neutral Bay - Kirribilli,3.2,8.9,10.3
304021090,Kenmore,3.2,9,10.3
203031052,Point Lonsdale - Queenscliff,5.2,9,10.3
316051543,Peregian Beach - Marcus Beach,3.8,8.8,10.4
121041417,North Sydney - Lavender Bay,3.3,8.9,10.4
208011168,Beaumaris,3.7,8.9,10.4
316051544,Peregian Springs,2.8,9,10.4
403011056,Brighton (SA),4.1,9.1,10.4
316051437,Sunshine Beach,3.6,8.6,10.5
304031093,Corinda,3,8.7,10.5
304031095,Sherwood,2.9,8.8,10.5
309041242,Tamborine - Canungra,3.8,8.9,10.5
203031049,Lorne - Anglesea,4.4,8.8,10.6
122021423,Warriewood - Mona Vale,3.3,9,10.6
401031013,Toorak Gardens,3.9,9.1,10.6
122011419,Manly - Fairlight,3.1,9.2,10.6
305041137,Toowong,2.3,8.7,10.7
305041133,Auchenflower,2.4,8.7,10.7
207011153,Kew,3.2,8.9,10.7
801061067,Narrabundah,3.3,9.1,10.7
208011170,Brighton East,3.4,9.1,10.7
401011002,North Adelaide,4,9.1,10.7
305041134,Bardon,2.6,8.6,10.8
401021008,Mount Barker Region,3.3,8.6,10.8
207011150,Glen Iris - East,3,8.8,10.8
304021086,Bellbowrie - Moggill,2.8,8.9,10.8
203031053,Torquay,3,8.9,10.8
801061064,Griffith (ACT),3.4,9,10.8
206041119,East Melbourne,3.4,9.2,10.8
207011147,Balwyn,3.5,9.2,10.8
801061070,Yarralumla,4.8,9.3,10.8
207011152,Hawthorn East,2.7,9,10.9
121031412,Wahroonga (East) - Warrawee,3.6,9.5,10.9
