SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
801011012,Gooromon,NA,0,0
504031055,Avon Valley National Park,NA,0,0
506011111,Ashendon - Lesley,NA,0,0
507051189,Rockingham Lakes,NA,0,0
801071132,Tuggeranong - West,NA,0,0
206051131,Port Melbourne Industrial,NA,0,0
117011325,Sydney Airport,NA,0,0
603011068,Wilderness - East,NA,0,0
128021537,Royal National Park,NA,0,0
206041120,Flemington Racecourse,NA,0,0
801051125,Duntroon,NA,0,0
801011112,West Belconnen,NA,0,0
125031487,Yennora Industrial,NA,0,0
505031106,Neerabup National Park,NA,0,0
117011324,Port Botany Industrial,NA,0,0
125031486,Smithfield Industrial,NA,0,0
801031031,Hume,NA,0,0
801031032,Kowen,NA,0,0
801101138,Molonglo - North,NA,0,0
504031063,Malaga,NA,0,0
701011003,East Point,NA,0,0
801011111,Molonglo Corridor,NA,0,0
302031036,Brisbane Airport,NA,NA,0
504021052,Malmalling - Reservoir,NA,NA,0
507011155,Henderson,NA,NA,0
116031318,Prospect Reservoir,NA,NA,0
210051248,Melbourne Airport,NA,NA,0
801061130,Fyshwick,NA,NA,0
205031092,Wilsons Promontory,NA,NA,0
308031221,Shoalwater Bay,NA,NA,0
127021521,Wetherill Park Industrial,NA,NA,0
107021135,Illawarra Catchment Reserve,NA,NA,0
124021456,Blue Mountains - South,NA,NA,0
208031184,Braeside,NA,NA,0
319021510,North Burnett,NA,NA,0
701031033,Koolpinyah,NA,NA,0
501021011,Davenport,NA,NA,0
205021080,Alps - East,NA,NA,0
124011451,Blue Mountains - North,NA,NA,0
701011001,Darwin Airport,NA,NA,0
401021004,Aldgate - Stirling,NA,NA,17.6
402051053,Modbury Heights,NA,NA,17.8
122011419,Manly - Fairlight,NA,NA,18.2
207011149,Camberwell,NA,NA,18.3
501011002,Busselton,NA,NA,18.5
124011450,Blaxland - Warrimoo - Lapstone,NA,NA,18.6
506071147,South Perth - Kensington,NA,NA,18.7
208041194,Malvern - Glen Iris,NA,NA,18.9
207011153,Kew,NA,NA,19
207021425,Doncaster East (South),NA,NA,19
307031189,Warwick,NA,15,19.1
202021028,Castlemaine Region,NA,NA,19.1
206071144,Richmond (Vic.),NA,NA,19.2
401051018,Payneham - Felixstow,NA,NA,19.2
121011398,Chatswood (East) - Artarmon,NA,NA,19.3
121011402,Willoughby - Castle Cove - Northbridge,NA,NA,19.3
122021423,Warriewood - Mona Vale,NA,NA,19.3
309031240,Runaway Bay,NA,NA,19.3
112031253,Pottsville,NA,NA,19.4
505011082,Sorrento - Marmion,NA,NA,19.5
316031427,Maroochydore - Kuluin,NA,NA,19.5
301021527,Redland Islands,NA,NA,19.5
502011024,Halls Head - Erskine,NA,NA,19.5
309031238,Labrador,NA,NA,19.6
502011027,Mandurah - North,NA,NA,19.6
603021072,Huonville - Franklin,NA,14.3,19.7
214021382,Mount Martha,NA,15.2,19.7
403031069,Mitcham (SA),NA,NA,19.7
319011493,Bargara - Burnett Heads,NA,NA,19.7
601051031,Sandy Bay,5,14.7,19.8
602031064,St Helens - Scamander,NA,15,19.8
207011148,Balwyn North,NA,NA,19.8
602011048,Summerhill - Prospect,NA,NA,19.8
102011040,Umina - Booker Bay - Patonga,NA,NA,19.8
403041084,Morphett Vale - East,NA,NA,19.9
403021062,Morphettville,NA,NA,19.9
121031410,St Ives,NA,NA,19.9
506021122,Rivervale - Kewdale - Cloverdale,NA,NA,19.9
121031411,Turramurra,NA,NA,19.9
319041521,Urangan - Wondunna,NA,NA,19.9
401061021,Prospect,NA,NA,20
121031407,Gordon - Killara,NA,NA,20
207011150,Glen Iris - East,NA,NA,20
207021424,Doncaster East (North),NA,NA,20
401051017,Norwood (SA),NA,14.6,20.1
316021420,Caloundra - West,4.5,15.7,20.1
206051133,St Kilda,NA,NA,20.1
115011291,Baulkham Hills (West) - Bella Vista,NA,NA,20.1
316081549,Noosa Hinterland,NA,NA,20.1
121031409,Pymble,NA,NA,20.1
316071548,Nambour,NA,NA,20.1
122031431,Narrabeen - Collaroy,NA,NA,20.1
104021084,Coffs Harbour - North,NA,NA,20.1
207031161,Blackburn,NA,NA,20.1
402051055,St Agnes - Ridgehaven,NA,NA,20.1
403011056,Brighton (SA),NA,15.2,20.2
407011148,Victor Harbor,NA,16.3,20.2
204031073,West Wodonga,NA,NA,20.2
