SA2 Code,SA2 Label,Three or more chronic (%) All ages,Three or more chronic (%) 60 years and over,Three or more chronic (%) 70 years and over
801051125,Duntroon,4.1,0,0
506011111,Ashendon - Lesley,NA,0,0
801011012,Gooromon,NA,0,0
117011324,Port Botany Industrial,NA,0,0
125031486,Smithfield Industrial,NA,0,0
801031032,Kowen,NA,0,0
801011111,Molonglo Corridor,NA,0,0
801031031,Hume,NA,0,0
801011112,West Belconnen,NA,0,0
128021537,Royal National Park,NA,0,0
505031106,Neerabup National Park,NA,0,0
801101138,Molonglo - North,NA,0,0
117011325,Sydney Airport,NA,0,0
603011068,Wilderness - East,NA,0,0
206051131,Port Melbourne Industrial,NA,0,0
801071132,Tuggeranong - West,NA,0,0
125031487,Yennora Industrial,NA,0,0
504031063,Malaga,NA,0,0
206041120,Flemington Racecourse,NA,0,0
701011003,East Point,NA,0,0
507051189,Rockingham Lakes,NA,0,0
504031055,Avon Valley National Park,NA,0,0
205021080,Alps - East,NA,NA,0
701031033,Koolpinyah,NA,NA,0
116031318,Prospect Reservoir,NA,NA,0
302031036,Brisbane Airport,NA,NA,0
501021011,Davenport,NA,NA,0
124011451,Blue Mountains - North,NA,NA,0
127021521,Wetherill Park Industrial,NA,NA,0
210051248,Melbourne Airport,NA,NA,0
319021510,North Burnett,NA,NA,0
205031092,Wilsons Promontory,NA,NA,0
801061130,Fyshwick,NA,NA,0
107021135,Illawarra Catchment Reserve,NA,NA,0
504021052,Malmalling - Reservoir,NA,NA,0
308031221,Shoalwater Bay,NA,NA,0
124021456,Blue Mountains - South,NA,NA,0
208031184,Braeside,NA,NA,0
701011001,Darwin Airport,NA,NA,0
507011155,Henderson,NA,NA,0
121031407,Gordon - Killara,3.9,12.1,15.1
505011076,Iluka - Burns Beach,3,12.2,15.1
801091107,O'Malley,6.1,13.1,15.5
118011346,Rose Bay - Vaucluse - Watsons Bay,5.2,13.3,15.8
304021089,Fig Tree Pocket,3.9,12.9,15.9
121031409,Pymble,3.7,12.4,16
121031410,St Ives,4.2,13,16
121031412,Wahroonga (East) - Warrawee,4.3,12.9,16.1
118011343,Double Bay - Bellevue Hill,5.5,13.7,16.3
121031408,Lindfield - Roseville,4.1,13,16.4
503011035,Nedlands - Dalkeith - Crawley,4.9,13.5,16.4
122031432,Terrey Hills - Duffys Forest,5.1,14.6,16.9
118011344,Dover Heights,4.6,13.3,17.2
304021091,Pinjarra Hills - Pullenvale,4.4,13.3,17.3
304021087,Brookfield - Kenmore Hills,5.1,13.9,17.5
305011105,Brisbane City,3.8,14,17.5
304021088,Chapel Hill,4.8,14,17.5
121031411,Turramurra,5,14.4,17.5
118011347,Woollahra,5.8,14.4,17.6
121041417,North Sydney - Lavender Bay,5.2,14.4,17.7
122021420,Avalon - Palm Beach,6.1,14.7,17.8
206061138,Toorak,7,15.3,17.8
308041528,Banana,6.8,15.8,17.8
118011345,Paddington - Moore Park,4.6,14.6,17.9
503011034,Mosman Park - Peppermint Grove,5.6,15.1,17.9
503011030,City Beach,5.7,15.1,17.9
206041118,Docklands,4,15.8,17.9
507041184,Winthrop,5.3,13.5,18
503011032,Cottesloe,5.3,14.3,18
211021262,Warrandyte - Wonga Park,5.5,14.6,18.2
701041038,Durack - Marlow Lagoon,3.3,12.5,18.3
117031337,Sydney - Haymarket - The Rocks,3.5,15.8,18.4
314011387,Samford Valley,5.2,14.6,18.5
304021086,Bellbowrie - Moggill,4.4,14.8,18.5
305031124,Hamilton (Qld),5.6,15.3,18.5
304021090,Kenmore,5.2,15.5,18.5
503011031,Claremont (WA),6.6,15.8,18.5
114021289,Southern Highlands,8.9,16.9,18.5
305011110,South Brisbane,4,15.3,18.6
507011260,Jandakot,6,15.1,18.7
503011036,Swanbourne - Mount Claremont,5.5,15.2,18.7
503011033,Floreat,4.4,14.7,18.8
801061063,Forrest,6.7,15.5,18.8
122021421,Bayview - Elanora Heights,6.5,15.6,18.8
115011296,West Pennant Hills,4.7,13.7,18.9
304031096,St Lucia,4.2,15.9,19
114021288,Robertson - Fitzroy Falls,8.5,17.3,19
122021422,Newport - Bilgola,5.3,14.8,19.1
401031012,Glenside - Beaumont,5.8,15.9,19.2
101061542,Yass Region,7.1,17.2,19.2
211021261,Donvale - Park Orchards,5.7,15.5,19.3
213051466,Point Cook - South,2.6,16,19.3
304011085,Westlake,5.6,14.9,19.4
126011496,Pennant Hills - Cheltenham,5,15,19.4
507011158,North Coogee,5.2,15.5,19.4
208011169,Brighton (Vic.),6.4,15.9,19.4
309101269,Main Beach,9.8,17.4,19.4
305031128,Newstead - Bowen Hills,4.7,15.2,19.5
506071147,South Perth - Kensington,5.5,15.5,19.5
309051243,Currumbin Valley - Tallebudgera,5.9,15.5,19.5
505011080,Ocean Reef,5.2,15.7,19.5
407021155,Naracoorte Region,8.1,16.1,19.5
206041126,Southbank,3.9,16.6,19.5
115011558,Cherrybrook,4.6,14.6,19.6
115011555,Castle Hill - North,5.1,15,19.6
121041415,Mosman,6,16.1,19.6
121041413,Cremorne - Cammeray,5.5,15.5,19.7
121041414,Crows Nest - Waverton,4.8,15.9,19.7
507041176,Bateman,5.3,16,19.7
304011081,Jindalee - Mount Ommaney,6,16.3,19.7
206041119,East Melbourne,7.3,17.3,19.7
126021499,Hunters Hill - Woolwich,5.5,15.4,19.8
121011402,Willoughby - Castle Cove - Northbridge,5.2,15.5,19.8
507041175,Applecross - Ardross,5.9,15.6,19.8
121011400,Lane Cove - Greenwich,4.8,15.8,19.8
604031094,North West,8.1,18.3,19.8
126011495,Epping - North Epping,4.3,14.7,19.9
505011082,Sorrento - Marmion,6.3,15.9,19.9
210021233,Macedon,6.6,16.2,19.9
507041179,Bull Creek,6.2,16.4,19.9
114021284,Bowral,9.7,18.3,19.9
115011291,Baulkham Hills (West) - Bella Vista,4.5,14.6,20
301031019,Wakerley,3.5,15.9,20
309051244,Mudgeeraba - Bonogin,5.5,16.4,20
206051128,Albert Park,5.9,16.5,20
209011201,Ivanhoe East - Eaglemont,6.4,16.7,20
505011075,Hillarys,5.5,15.7,20.1
314011385,Eatons Hill,4.3,15.8,20.1
122011418,Balgowlah - Clontarf - Seaforth,5,16.4,20.1
122021423,Warriewood - Mona Vale,5.4,16.4,20.1
109021179,Wentworth-Balranald Region,8.1,17.8,20.1
110011189,Walcha,9.8,18.1,20.1
125011473,Homebush Bay - Silverwater,3.4,14.9,20.2
309051245,Reedy Creek - Andrews,4.4,16.6,20.2
121021406,Normanhurst - Thornleigh - Westleigh,5.3,16.6,20.2
701011002,Darwin City,3.9,13,20.3
122031428,Frenchs Forest - Belrose,5.3,17,20.3
110011187,Armidale Region - North,8.5,18.1,20.3
214021378,Flinders,10.2,18.2,20.3
121011399,Chatswood (West) - Lane Cove North,4.2,15.7,20.4
401031011,Burnside - Wattle Park,6.2,16.7,20.4
401021004,Aldgate - Stirling,7,17,20.4
121021579,Waitara - Wahroonga (West),4.3,15.7,20.5
115011553,Castle Hill - Central,4.8,15.7,20.5
510021269,Port Hedland,5.1,16,20.5
122031427,Forestville - Killarney Heights,5.3,16.9,20.5
309031239,Paradise Point - Hollywell,8.4,17.2,20.5
306041165,Port Douglas,8.1,18.4,20.5
115011557,Castle Hill - West,3.5,12.4,20.6
115011556,Castle Hill - South,5,15.5,20.6
303041069,Robertson,4.7,16.6,20.6
505011072,Duncraig,5.9,16.7,20.6
401021010,Uraidla - Summertown,7,16.8,20.6
118011339,Bondi - Tamarama - Bronte,4.6,16.6,20.7
305031125,Hendra,5.4,16.8,20.7
121041416,Neutral Bay - Kirribilli,5.9,17.3,20.7
503021042,Subiaco - Shenton Park,6,17.4,20.7
128011605,Lilli Pilli - Port Hacking - Dolans Bay,5.2,16.1,20.8
208011170,Brighton East,5.8,16.8,20.8
122011419,Manly - Fairlight,5.3,17.4,20.8
201021012,Gordon (Vic.),8.4,18.8,20.8
115011559,Kellyville,3.7,14.8,20.9
507041180,Leeming,5.6,15.1,20.9
303031064,Rochedale - Burbank,4,16.1,20.9
305041133,Auchenflower,4.9,17.1,20.9
314011384,Dayboro,6.2,17.2,20.9
501031020,Pemberton,10.5,19,20.9
701021026,Rapid Creek,5.3,16,21
305021114,Bulimba,4.4,16.5,21
125041490,North Rocks,5.6,16.8,21
208041194,Malvern - Glen Iris,5.7,17.3,21
208011168,Beaumaris,6.6,17.3,21
509011226,Albany Region,9.5,18.7,21
509011229,Gnowangerup,8.9,18.8,21
305011111,Spring Hill,3.5,16.8,21.1
505011071,Currambine - Kinross,4.6,16.9,21.1
504031060,Gidgegannup,7.2,17,21.1
207011151,Hawthorn,5,17.4,21.1
211051282,Mount Dandenong - Olinda,7.9,18,21.1
206041122,Melbourne,2.9,18.2,21.1
309031240,Runaway Bay,9.3,18.5,21.1
309041242,Tamborine - Canungra,8.8,19,21.1
108011153,Forster-Tuncurry Region,11.5,20.8,21.1
121011401,St Leonards - Naremburn,4.1,15.9,21.2
304011084,Seventeen Mile Rocks - Sinnamon Park,4.9,15.9,21.2
121011398,Chatswood (East) - Artarmon,4.3,16.4,21.2
507041178,Booragoon,6.1,17.2,21.2
505031255,Alkimos - Eglinton,3,17.4,21.2
118011341,Bondi Junction - Waverly,5.1,17.6,21.2
316051544,Peregian Springs,6.2,19.5,21.2
801061129,Barton,5.9,14.9,21.3
